Line,Direction,Station from,Station to,Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),from_naptan_code,to_naptan_code
Bakerloo ,Southbound,HARROW & WEALDSTONE,KENTON,1.74,2.23,2.5,2.5,940GZZLUHAW,940GZZLUKEN
Bakerloo ,Southbound,KENTON,SOUTH KENTON,1.4,1.88,2.0,2.0,940GZZLUKEN,940GZZLUSKT
Bakerloo ,Southbound,SOUTH KENTON,NORTH WEMBLEY,0.9,1.5,1.5,1.5,940GZZLUSKT,940GZZLUNWY
Bakerloo ,Southbound,NORTH WEMBLEY,WEMBLEY CENTRAL,1.27,1.92,2.06,2.06,940GZZLUNWY,940GZZLUWYC
Bakerloo ,Southbound,WEMBLEY CENTRAL,STONEBRIDGE PARK,1.71,2.23,3.13,3.13,940GZZLUWYC,940GZZLUSGP
Bakerloo ,Southbound,STONEBRIDGE PARK,HARLESDEN,1.53,2.13,2.4,2.4,940GZZLUSGP,940GZZLUHSN
Bakerloo ,Southbound,HARLESDEN,WILLESDEN JUNCTION,1.05,1.65,2.23,2.23,940GZZLUHSN,940GZZLUWJN
Bakerloo ,Southbound,WILLESDEN JUNCTION,KENSAL GREEN,1.5,2.47,2.5,2.5,940GZZLUWJN,940GZZLUKSL
Bakerloo ,Southbound,KENSAL GREEN,QUEENS PARK,1.32,2.65,4.72,4.72,940GZZLUKSL,
Bakerloo ,Southbound,QUEENS PARK,KILBURN PARK,0.79,1.42,1.5,1.5,,940GZZLUKPK
Bakerloo ,Southbound,KILBURN PARK,MAIDA VALE,0.88,1.48,2.0,2.0,940GZZLUKPK,940GZZLUMVL
Bakerloo ,Southbound,MAIDA VALE,WARWICK AVENUE,0.79,1.5,1.5,1.5,940GZZLUMVL,940GZZLUWKA
Bakerloo ,Southbound,WARWICK AVENUE,PADDINGTON,0.88,1.58,2.0,2.0,940GZZLUWKA,940GZZLUPAC
Bakerloo ,Southbound,PADDINGTON,EDGWARE ROAD,0.72,1.57,1.5,1.5,940GZZLUPAC,
Bakerloo ,Southbound,EDGWARE ROAD,MARYLEBONE,0.45,1.12,1.5,1.5,,940GZZLUMYB
Bakerloo ,Southbound,MARYLEBONE,BAKER STREET,0.5,1.17,1.5,1.5,940GZZLUMYB,940GZZLUBST
Bakerloo ,Southbound,BAKER STREET,REGENTS PARK,0.88,1.68,2.0,2.0,940GZZLUBST,
Bakerloo ,Southbound,REGENTS PARK,OXFORD CIRCUS,0.87,1.85,2.0,2.0,,940GZZLUOXC
Bakerloo ,Southbound,OXFORD CIRCUS,PICCADILLY CIRCUS,0.97,1.95,2.48,2.48,940GZZLUOXC,940GZZLUPCC
Bakerloo ,Southbound,PICCADILLY CIRCUS,CHARING CROSS,0.55,1.35,1.5,1.5,940GZZLUPCC,940GZZLUCHX
Bakerloo ,Southbound,CHARING CROSS,EMBANKMENT,0.37,0.95,1.5,1.5,940GZZLUCHX,940GZZLUEMB
Bakerloo ,Southbound,EMBANKMENT,WATERLOO,0.71,1.43,1.5,1.5,940GZZLUEMB,940GZZLUWLO
Bakerloo ,Southbound,WATERLOO,LAMBETH NORTH,0.63,1.45,2.0,2.0,940GZZLUWLO,940GZZLULBN
Bakerloo ,Southbound,LAMBETH NORTH,ELEPHANT & CASTLE,0.82,2.57,2.5,2.5,940GZZLULBN,940GZZLUEAC
Bakerloo ,Northbound,ELEPHANT & CASTLE,LAMBETH NORTH,0.82,2.13,2.0,2.0,940GZZLUEAC,940GZZLULBN
Bakerloo ,Northbound,LAMBETH NORTH,WATERLOO,0.63,1.45,2.06,2.06,940GZZLULBN,940GZZLUWLO
Bakerloo ,Northbound,WATERLOO,EMBANKMENT,0.71,1.22,1.5,1.5,940GZZLUWLO,940GZZLUEMB
